Region,Country,Country_income_level,Organization_name,Type_of_organization,Organization_description,Sector,URL,City,State_County,Founding_year,Size,Type_of_data_used,Application_Advocacy,Advocacy_description,Application_Product_Service,Product_Service_Description,Application_Organizational_Optimization,Organizational_Optimization_Description,Application_Research,Research_Description,Application_Other,Other_Description
"East Asia & Pacific",China,"Upper middle income","Institute of Geographic Sciences and Natural Resources Research (IGSNRR)",Other,"IGSNRR is a multidisciplinary research institute focusing on physical geography and global change, human geography and regional development, natural resources and the environment, geographical informa","Scientific research",http://english.igsnrr.cas.cn/,Beijing,Beijing,1999,,"Weather, Science and research, Environment",FALSE,,FALSE,,FALSE,,TRUE,"The Data Sharing Infrastructure of Earth Syst",FALSE,
"East Asia & Pacific",China,"Upper middle income","The Cold and Arid Regions Environmental and Engineering Research Institute ",Other,"CAREERI aims at incubating scientists in the field of science, technology and engineering for developing West China, and at becoming an Asian base and international center for research on and academic","Scientific research",http://english.careeri.cas.cn,Lanzhou,Gansu,1999,,Environment,FALSE,,FALSE,,FALSE,,TRUE,"The project Chinese Western Environment and E",FALSE,
"East Asia & Pacific",China,"Upper middle income","DJChina ","Developer group","DJChina aims to introduce the best practice of data journalism to the practitioners in China, by providing in-depth case studies, latest industry news, practical tutorials and tools, as well as offlin","Media and communications",djchina.org,Beijing,Beijing,2013,,"Health/healthcare, Government operations",TRUE,"Uses open data to provide in-depth case studi",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",China,"Upper middle income",Datatang,For-profit,"The core capability of Datatang is to provide customized data service – to tailor data based on client’s specific demand.","Data/information technology",http://www.datatang.com/,Beijing,Beijing,2011,1000+,,FALSE,,FALSE,,TRUE,"Integrates open goverrnment datasets with oth",FALSE,,FALSE,
"East Asia & Pacific",China,"Upper middle income","BeiJing City Lab","Developer group","The Beijing City Lab (BCL) is a research community, dedicated to studying China’s capital Beijing, urban dynamics, planning and governance, for sustainable urban development.",Governance,http://www.beijingcitylab.com,Beijing,Beijing,2013,,"Geospatial/mapping, Demographics and social",TRUE,"Hosts and makes available open datasets on ne",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",Thundermaps,For-profit,"ThunderMaps helps businesses communicate incidents - things like workplace hazards and infrastructure faults.","Security and public safety",https://learn.thundermaps.com/,Wellington,Wellington,2012,"11 to 50","Weather, Transportation, Geospatial/mapping",FALSE,,TRUE,"ThunderMaps makes millions of open data incid",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Grofsoft,For-profit,"Grofsoft are the developers of TripView, which lets users see Sydney train, bus and ferry timetable data on their mobile devices in real time.","Transportation and logistics",http://www.grofsoft.com,Sydney,"New South Wales",2009,"1 to 10",Transportation,FALSE,,TRUE,"Developers of TripView, TrainView, and other ",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Appjourney,For-profit,"Appjourney is the developer of Triptastic, which provices real-time transit information on public transportation.","Transportation and logistics",http://www.triptasticapp.com,Sydney,"New South Wales",2013,,Transportation,FALSE,,TRUE,"Developers of Triptastic app which uses local",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Aram-in,For-profit,"Aram-in is a mobile services and software development company.","Data/information technology",http://www.aram-in.com,Seoul,,2014,,Transportation,FALSE,,FALSE,,TRUE,"""Smart Butterfly"", a mass traffic navigation,",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Libeka,For-profit,"Libeka distributes next-generation electronic library solutions which are used by public and university libraries. ","Data/information technology",http://www.libeka.co.kr,Seoul,,2015,,Education,FALSE,,FALSE,,TRUE,"Collects and integrates open data on librarie",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",MEDIVENTURES,For-profit,"MEDIVENTURES offers services of connecting medical information on the basis of medical big data analyzed with its innovative platform.",Healthcare,http://www.mediventures.co.kr/,Seoul,,2012,,Health/healthcare,FALSE,,FALSE,,TRUE,"Uses healthcare open data, such as hospitals,",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Datepop,For-profit,"Datepop helps users finding dating spots in Seoul.","Consumer services",http://www.datepop.co.kr,Seoul,,2014,,Transportation,FALSE,,FALSE,,TRUE,"Uses open tourism data, such as attractions, ",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Kims,For-profit,"Kims offers network services, expertise and marketing solutions to members of the healthcare field and provides medical information and communication services around the world.",Healthcare,http://www.kimsonline.co.kr/,Seoul,,1994,,Health/healthcare,FALSE,,FALSE,,TRUE,"Uses open data on pharmaceutical drugs to pro",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Famnet,For-profit,"Famnet's goal is to contribute to the development of agriculture by offering practical marketing consulting so that regional producers can operate their business independently.",Agriculture,http://www.famnet.co.kr,Seoul,,2011,,Agriculture,FALSE,,FALSE,,TRUE,"Uses open data on the food supply system to p",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income","Korea Environmental Science & Technology",For-profit,"KESTI performs marine measurement and waterway investigation on the basis of expertise on marine physics and chemistry, underwater sound etc. ",Environment,http://www.kesti.co.kr,Seoul,,1991,,"Weather, Environment",FALSE,,FALSE,,TRUE,"Uses open data on weather and environment (in",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Liuxuekorea,For-profit,"Liuxuekorea publicizes Korean language, culture and universities, providing Chinese potential international students and students with information on Korean language education, South Korean universiti",Education,http://www.liuxuekorea.com,Seoul,,1965,,"Arts and culture",FALSE,,FALSE,,TRUE,"Uses tourism open data to provide information",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Spacosa,For-profit,"Spacosa's mission is to help connect people and help them keep track of the things that are important. ",Geospatial/mapping,http://www.spacosa.com,Seoul,,2012,,Geospatial/mapping,FALSE,,TRUE,"""Famy"" app relies on GPS data to show real-ti",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",LOC&ALL,For-profit,"LOC&ALL is a smart phone navigation system.",Geospatial/mapping,http://www.locnall.com,Seoul,,2010,,"Transportation, Geospatial/mapping",FALSE,,TRUE,"Service relies on GPS data as well as other r",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income","Jungdo UIT",For-profit,"Jungdo UIT is a spatial information service provider that runs knowledge-based projects of next-generation spatial information technology, system integration (SI) and city planning engineering.",Geospatial/mapping,http://www.uitgis.com/,Seoul,,2002,,Transportation,FALSE,,FALSE,,TRUE,"Uses transport and road open data to develop ",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",HEYDEALER,For-profit,"HEYDEALER is a price comparison app service whose goal is to take the lead in making the transactions in used car markets.","Consumer services",http://m.heydealer.com/,Seoul,,2013,,Other,FALSE,,FALSE,,TRUE,"The service uses insurance data from the Kore",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Haezoom,For-profit,"Haezoom''s mission to develop a nationwide map in South Korea to show solar power generation and profitability.",Energy,http://www.haezoom.com/,Seoul,,2012,,Weather,FALSE,,FALSE,,TRUE,"Uses open data on weather and environment to ",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Druginfo,For-profit,"Druginfo is a medical information site.",Healthcare,http://www.druginfo.kr/,Seoul,,1983,,Health/healthcare,FALSE,,FALSE,,TRUE,"Uses open data on pharmaceutical drugs to pro",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Redtable,For-profit,"Redtable provides rankings of Asian restaurants.","Consumer services",http://www.redtable.kr,Seoul,,2011,,Health/healthcare,FALSE,,FALSE,,TRUE,"Uses open data on restaurant inspections to p",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Theimc,For-profit,"Theimc is a big data consultancy company.","Data/information technology",http://www.theimc.co.kr,Daegu,,2003,,"Weather, Agriculture",FALSE,,FALSE,,TRUE,"Uses various open data sets to conduct big da",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Seeders,For-profit,"Seeders bridges the gap between research and practice by analyzing the existing knowledge and gene information necessary for breeding using bioinformatics technology and applying them to breeding fiel","Research and consulting",http://www.seeders.co.kr,Daejeon,,2010,,Agriculture,FALSE,,FALSE,,FALSE,,TRUE,"Uses agriculture open data such as seeds geno",FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Naturing,For-profit,"Naturing is a tool to observe, record, and retrieve nature on an open network to share natural activity experiences. The organization supports and implements various civic science projects so that any",Environment,www.naturing.net,Seoul,,2015,,Environment,FALSE,,FALSE,,TRUE,"Uses ecological open data to enable search of",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income","Y. P. Lee, Mock and Partners",For-profit,"Mok Patent Corp. offers solutions related to intellectual property rights, including patent technology and intellectual rights such as trademarks, design and copyrights.","Business and legal services",http://www.leemock.com,Seoul,,1985,,Legal,FALSE,,TRUE,"Use open patent data to provide legal service",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",ytndmb,For-profit,"ytndmb provides real-time meteorological information.",Weather,http://www.ytndmb.com,Seoul,,2000,,Weather,FALSE,,FALSE,,TRUE,"Uses open data on weather and environment to ",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",SNBSOFT,For-profit,"Snbsoft is an internet map service provider.",Geospatial/mapping,http://www.talkyple.com/,Seoul,,2012,,Geospatial/mapping,FALSE,,TRUE,"talkyple app uses geospatial open data on map",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",moduparking,For-profit,"moduparking is a platform sharing location-based parking lots and spaces.","Transportation and logistics",http://www.moduparking.com,Seoul,,2014,,Geospatial/mapping,FALSE,,TRUE,"moduparking app is based on GPS data to geolo",FALSE,,FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",kweather,For-profit,"kweather provides meteorological information on weather, air pollution, disasters etc.",Weather,http://www.kweather.co.kr,Seoul,,1997,,Weather,FALSE,,FALSE,,TRUE,"Uses open data on weather and environment to ",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",goodoc,For-profit,"Good Doc is a ""clinic search"" service to provide neighboring clinic locations and treatment information, as well as various services, such as medical staff and treatment information, patients' comment",Healthcare,neo.goodoc.co.kr,Seoul,,2012,,Health/healthcare,FALSE,,FALSE,,TRUE,"Uses open healthcare data to display the near",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",easygo,For-profit,"easygo is a service that recommends new travel places.",Tourism,http://www.easygo.biz,Seoul,,2012,,Tourism,FALSE,,FALSE,,TRUE,"Uses open tourism data to accurately recommen",FALSE,,FALSE,
"East Asia & Pacific","Korea, Rep.","High income",Carffeine,For-profit,"Carffeine aims to decrease the distrust in the after-sale car market using the car history information and beefing up the rights and benefits of people.","Consumer services",www.carffeine.com,Seoul,,2013,,Transportation,FALSE,,FALSE,,TRUE,"Uses car history open data to integrate in ca",FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","myDroplet - the Droplet Charitable Trust",Nonprofit,"myDroplet is a charity that exists for donors, offering an online donation service that makes it easy and accessible to give to a group of vetted and reviewed New Zealand charities and causes.
",Other,http://www.mydroplet.org.nz,Auckland,Auckland,2015,"1 to 10",Other,FALSE,,FALSE,,TRUE,"Charity evaluation",FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income","myDroplet - the Droplet Charitable Trust",Nonprofit,"myDroplet is a charity that exists for donors, offering an online donation service that makes it easy and accessible to give to a group of vetted and reviewed New Zealand charities and causes. ",Other,http://www.mydroplet.org.nz,Auckland,Auckland,2015,"1 to 10",Other,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
